11254,Company," ",,,,,,,9876543210,jsjd@asd.as.d,,0,FALSE,,"[""asdasd asd asdasda""","""qweqw q2 12""]",sadasdasd22,5f72fded4b93e,,,09/29/2020,
11260,c1," ",,,,,,,9876543210,12@asd.asd.a,,0,FALSE,,"[""asdasd asd asdasda""","""qweqw q2 12""]",,,,,10/29/2020,
11342,csdasd," ",,,,,,,9876543210,asdasd@Asdasd.asd,,0,FALSE,,"[""ASD ASDAS asdas""","""C;iet4 j kk""]",11111110010101010101,60599AAB044FA,,,12/08/2020,
11346,"New Company","address1 ",address2,city,state,123123,India,11212212111212,1231232,newcompany@gmail.com,http://localhost/legalcase_git/contacts/companies/11346,0,FALSE,pnotes,"[""cLIENT2 MM MMMMAASD""","""ASD ASDAS asdas""","""C;iet4 j kk""","""co98 ooo oooo""","""asdas kkhjklj ljlklljk""","""asdas ASD sda""","""from company save""]",11111110010101010101,60599AAB044FA,,,12/18/2020,
11353,sadasdas,"aa ",aaaaa,aaa,,,,,,asds@asdas.asd,,0,FALSE,,"[""ASD ASDAS asdas""]",asdasdasdasdas,5f7318804444c,,,03/03/2021,
11318,2332," ",,,,,,,9876543210,,,0,FALSE,,,11111110010101010101,60599AAB044FA,,,11/12/2020,
11324,2222," ",,,,,,,9876543210,,,0,FALSE,,,,,,,11/12/2020,
11345,123," ",,,,,,,,,,0,FALSE,,"[""Contact1 m mm""","""New Company""","""testdd d dd""]",11111110010101010101,60599AAB044FA,,,12/18/2020,
11326,2222," ",,,,,,,9876543210,,,0,FALSE,,"[""asdasd asd asdasda""","""qweqw q2 12""]",,,,,11/12/2020,
11322,3," ",,,,,,,9876543210,,,0,FALSE,,"[""asdasd asd asdasda""","""qweqw q2 12""]",,,,,11/12/2020,
11323,111," ",,,,,,,9876543210,,,0,FALSE,,"[""asdasd asd asdasda""]",11111110010101010101,60599AAB044FA,,,11/12/2020,
11321,2," ",,,,,,,9876543210,,,0,FALSE,,,,,,,11/12/2020,
11320,1," ",,,,,,,9876543210,,,0,FALSE,,,,,,,11/12/2020,
11319,tes222," ",,,,,,,9876543210,,,0,FALSE,,,,,,,11/12/2020,
11317,te2223221," ",,,,,,,9876543210,,,0,FALSE,,,,,,,11/12/2020,
11316,te222322," ",,,,,,,9876543210,,,0,FALSE,,,,,,,11/12/2020,
11315,te2223," ",,,,,,,9876543210,,,0,FALSE,,,,,,,11/12/2020,
11314,te222," ",,,,,,,9876543210,,,0,FALSE,,,,,,,11/12/2020,
11313,crr23," ",,,,,,,9876543210,,,0,FALSE,,,,,,,11/12/2020,
11312,crr2," ",,,,,,,9876543210,,,0,FALSE,,,,,,,11/12/2020,
11330,1asas," ",,,,,,,9876543210,,,0,FALSE,,,,,,,11/12/2020,
11331,wqe," ",,,,,,,9876543210,,,0,FALSE,,,,,,,11/12/2020,
11333,2s2," ",,,,,,,9876543210,,,0,FALSE,,,,,,,11/12/2020,
